フィーチャID,形状(WKT),データID,データ名,特色、概要,問い合わせ先,問い合わせ先電話番号,問い合わせ先ホームページ,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
294,POINT(136.77082657814 35.2296661462861),da010556,愛知県植木センター,稲沢の植木づくりは鎌倉時代に始まった伝統ある産業で、稲沢は今日でも全国有数の植木の産地となっています。,愛知県植木センター,0587－36－1148,http://aichi-ueki.jp/,"","",システム管理者,2021/12/20 16:10:19,システム管理者,2023/01/12 14:56:31
295,POINT(136.985473036766 34.9920173760878),da040644,刈谷市歴史博物館,刈谷の歴史について、見て、触れて、体験して学ぶことの出来る博物館です。,刈谷市歴史博物館,0566ｰ63ｰ6100,http://www.city.kariya.lg.jp/rekihaku/,"","",システム管理者,2021/12/21 10:46:07,システム管理者,2022/11/14 14:01:27
296,POINT(136.893821954727 34.8975207532659),da030531,（いちご狩り）市野園芸,アクセスが良く、気軽に楽しむことのできるいちご狩りです。,市野園芸,0569ｰ27ｰ7586,http://www.ichino-15.com/,"","",システム管理者,2021/12/21 10:59:12,システム管理者,2022/11/28 15:37:44
297,POINT(136.878190040588 34.9018060177616),da030531,（いちご狩り）澤田農園,アクセスが良く、気軽に楽しむことのできるいちご狩り。,澤田農園,0569ｰ27ｰ6430,http://sawadafarm.com,"","",システム管理者,2021/12/21 11:05:44,システム管理者,2022/11/14 14:09:02
298,POINT(136.900924444199 34.8980927214153),da030531,（いちご狩り）ベリーガーデンズ,アクセスが良く、気軽に楽しむことのできるいちご狩り。,ベリーガーデンズ,0569－47－8015,http://www.berry-gardens.jp/reserve/,"","",システム管理者,2021/12/21 11:13:03,システム管理者,2022/11/14 14:10:25
299,POINT(137.548892498016 35.064247563568),da060527,道の駅したら・奥三河郷土館,令和3年5月に設楽町清崎地区に郷土館とともにオープンした新しい道の駅です。国道257号線沿いでアクセスが良く、施設内ではふんだんに使用された木材に囲まれ、木々の落ち着いた雰囲気を感じることができます。,道の駅したら ,0536ｰ63ｰ0120,https://www.kankoshitara.jp/michinoekishitara/,"","",システム管理者,2022/01/28 09:45:25,システム管理者,2023/01/13 10:41:07
300,POINT(136.724579930305 35.1094780432445),da020519,YaToMiAQUA（弥富金魚水族館）,10基の水槽に、全国に誇る優美で色鮮やかな弥富の金魚が優雅に泳いでいる金魚水族館です。,弥富市観光課（弥富観光協会）,0567-65-1106,"","","",システム管理者,2022/12/12 14:57:26,システム管理者,""
301,POINT(137.336847782135 34.925841589891),da040556,わんパーク,ここはみんなの秘密基地！子どもの数だけ遊びが生まれる！,わんパーク,0564-82-3511,https://okazaki-kanko.jp/mizutomidori/wanpark/,"","",システム管理者,2022/12/12 15:36:23,システム管理者,2022/12/22 11:52:08
302,POINT(137.333908081055 34.9018412140802),da040557,岡崎市ホタル学校,ホタルの博物館！,岡崎市ホタル学校,0564-82-3027,https://okazaki-kanko.jp/mizutomidori/hotarunosato/guide/284,"","",システム管理者,2022/12/12 15:39:57,システム管理者,2022/12/22 11:52:34
303,POINT(137.33384326781 34.9280664525137),da040558,本宮山自然休養村　男川やな,自然の中で見つける四季折々の里山の風と香り。,男川やな,0564-82-2089,http://home1.catvmics.ne.jp/~ns5021/otogawayana.htm,"","",システム管理者,2022/12/12 15:44:10,システム管理者,2022/12/22 11:52:54
